#lambda/nm	DC	C1
478.064	13427.4	13665.6
478.479	13237	13536.4
478.872	13045.4	13374.2
479.287	12903.4	13229
479.702	12780.6	13129.4
480.118	12681.2	13019.4
480.511	12625.8	12951.6
480.927	12572.4	12886.8
481.342	12541.4	12835.6
481.736	12525	12868.6
482.151	12478.8	12814.6
482.566	12503.4	12797.2
482.96	12522.2	12821.2
483.376	12553.4	12837.2
483.792	12558.2	12878.6
484.186	12621.8	12945.4
484.602	12625.8	12995.4
485.017	12675.4	13021.2
485.412	12804	13064.4
485.827	12843	13177
486.243	12891.8	13206.2
486.638	12979.8	13343
487.054	13114.8	13419.2
487.47	13198.8	13497
487.865	13239.4	13599.8
488.281	13355.4	13645.8
488.697	13489.8	13809.4
489.092	13566.8	13895.4
489.508	13695.8	14037.6
489.925	13834	14190
490.32	13977	14281.6
490.736	14126.6	14453.2
491.153	14273.6	14598
491.548	14432.6	14790.2
491.964	14664.6	14940.4
492.381	14795	15128.6
492.776	15003	15275.8
493.193	15211	15484.2
493.61	15451.4	15719
494.006	15629	15907.8
494.422	15869.4	16089.8
494.84	16039	16301.2
495.235	16260.6	16549.6
495.652	16514	16790.4
496.069	16767	17048.8
496.465	17086.4	17259.6
496.883	17277.4	17599.4
497.3	17546.4	17863
497.696	17886	18117.8
498.113	18088.8	18432.4
498.509	18436.2	18734.6
498.927	18707.8	18887.2
499.344	18964.8	19239
499.741	19245.8	19510.8
500.158	19506.6	19719.8
500.576	19755.4	20020.6
500.973	20014.2	20317
501.39	20314.2	20594
501.787	20572	20794.2
502.205	20878.6	21169.8
502.623	21155.4	21399.8
503.02	21400	21607.6
503.438	21676.6	21857.4
503.856	21960.2	22156.8
504.253	22194.6	22378.2
504.671	22382	22681
505.068	22664	22973.8
505.486	23005	23174.8
505.905	23293.2	23478.4
506.302	23467.6	23756.8
506.72	23708.6	23974.4
507.118	23936.6	24240.6
507.536	24285.2	24451.8
507.955	24501.4	24770
508.352	24794.4	24949.4
508.771	25033.4	25249
509.169	25313.4	25500.8
509.587	25502.8	25740.8
510.006	25703.4	25996.8
510.404	25999.8	26183
510.823	26158	26541.6
511.221	26392.6	26643
511.64	26702.4	26847.2
512.038	26775	27060
512.457	27029.8	27286.6
512.877	27174.8	27508.2
513.275	27411	27717.6
513.694	27734.8	27913.8
514.092	27820.4	28122.2
514.512	28108.2	28377.8
514.91	28288	28493
515.33	28507.6	28731.4
515.749	28675.4	28964
516.148	28821.8	29060
516.568	29090.2	29243
516.966	29202.2	29512.2
517.386	29424.6	29661.8
517.785	29627.8	29858.8
518.205	29861.2	30058.6
518.603	30025.4	30204
519.024	30189.2	30391.6
519.444	30355.8	30479.8
519.843	30501.2	30822.4
520.263	30781.6	30832.2
520.662	30876	31046
521.082	31148.6	31265
521.481	31192	31396.6
521.902	31398.4	31594.6
522.301	31610.2	31754.6
522.722	31769.2	31936
523.121	31862	32041.8
523.542	31986.8	32144.8
523.963	32121	32332.2
524.362	32297.2	32413.6
524.783	32429.6	32657.8
525.183	32551.6	32802.4
525.604	32812.2	32930.6
526.003	32829.8	33021.6
526.425	32951.4	33153.2
526.824	33015.2	33259.8
527.246	33158	33324.6
527.646	33318	33487
528.067	33410.8	33550
528.467	33571	33680.4
528.888	33653.6	33878
529.289	33800	33960.4
529.71	33870.4	34062.6
530.11	34021.8	34198.8
530.532	34206.2	34284.2
530.932	34248	34470.8
531.354	34386.8	34582.6
531.755	34637.8	34750.8
532.176	34711.6	34903.6
532.577	34888	34996.6
532.999	35074.6	35155.6
533.4	35177.6	35309.2
533.822	35327.8	35443.8
534.223	35462.4	35643.2
534.645	35586.8	35727.2
535.046	35788	35952.6
535.468	35954.8	36079.2
535.869	36148.6	36279
536.292	36233.6	36423.8
536.693	36451.8	36579.6
537.115	36625.6	36758
537.516	36756.2	36811
537.939	36914.4	36954
538.34	37025.8	37066.8
538.742	37193.2	37316.2
539.165	37392.8	37493.2
539.566	37461.6	37625.2
539.989	37627.2	37730.8
540.391	37740.8	37910.6
